I1109 22:38:39.714166  179064 kafka_exporter.go:769] Starting kafka_exporter (version=1.4.2, branch=HEAD, revision=0d5d4ac4ba63948748cc2c53b35ed95c310cd6f2)
I1109 22:38:39.719008  179064 kafka_exporter.go:929] Listening on HTTP :9308
E1111 02:33:58.877062  179064 kafka_exporter.go:369] Cannot refresh topics, using cached data: kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
E1111 02:34:00.425673  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_STORAGE_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.450595  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DECODER_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.470851  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_CAMERA_INFO_T partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.474938  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_CAMERA_INFO_T_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.483137  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PERSON_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.491903  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_WIFI_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.496065  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_STORAGE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.496598  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_WIFI_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.506654  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PERSON_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.507029  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.511519  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.525175  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PARKINGLOG_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.535862  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.548474  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO_BATCH_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.573583  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_STORAGE_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.581370  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_DECODER_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.589384  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DOORACCESS_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.604549  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_CAMERA_INFO_T partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.607017  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_CAMERA_INFO_T_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.616991  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PERSON_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.625974  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_WIFI_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.628746  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_STORAGE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.632540  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_WIFI_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.634058  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PERSON_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.637270  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_DOORACCESS_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.637926  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.643029  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PARKINGLOG_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
